127.0.0.1 - - [29/Oct/2019:17:34:48 +0900] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [29/Oct/2019:17:34:59 +0900] "GET /cop/boot/rufrhk4.jsp HTTP/1.1" 200 14380
0:0:0:0:0:0:0:1 - - [29/Oct/2019:17:34:59 +0900] "GET /cop/boot/rufrhk4.jsp HTTP/1.1" 200 14380
0:0:0:0:0:0:0:1 - - [29/Oct/2019:17:34:59 +0900] "GET /cop/boot/rufrhk4.jsp HTTP/1.1" 200 14380
0:0:0:0:0:0:0:1 - - [29/Oct/2019:17:34:59 +0900] "GET /cop/boot/main.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2019:17:34:59 +0900] "GET /cop/boot/css/shop-homepage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2019:17:34:59 +0900] "GET /cop/boot/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2019:17:34:59 +0900] "GET /cop/boot/tkdvna_files/contents_pays.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2019:17:34:59 +0900] "GET /cop/boot/tkdvna_files/contents.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2019:17:34:59 +0900] "GET /cop/boot/tkdvna_files/ac.js.%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [29/Oct/2019:17:34:59 +0900] "GET /cop/boot/tkdvna_files/jquery-1.12.3.min.js.%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [29/Oct/2019:17:34:59 +0900] "GET /cop/boot/tkdvna_files/Common.js.%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [29/Oct/2019:17:34:59 +0900] "GET /cop/boot/tkdvna_files/html5.js.%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [29/Oct/2019:17:34:59 +0900] "GET /cop/boot/tkdvna_files/isotope.pkgd.min.js.%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C HTTP/1.1" 404 1114
