127.0.0.1 - - [31/Oct/2019:14:43:07 +0900] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [31/Oct/2019:14:43:24 +0900] "GET /cop/boot/index.jsp HTTP/1.1" 200 9168
0:0:0:0:0:0:0:1 - - [31/Oct/2019:14:43:24 +0900] "GET /cop/boot/main.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2019:14:43:24 +0900] "GET /cop/boot/css/shop-homepage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2019:14:43:25 +0900] "GET /cop/boot/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2019:14:43:25 +0900] "GET /cop/boot/tkdvna_img/dkapflzksh1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2019:14:43:25 +0900] "GET /cop/boot/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2019:14:43:25 +0900] "GET /cop/boot/vendor/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2019:14:43:26 +0900] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [31/Oct/2019:14:43:30 +0900] "GET /cop/boot/index.jsp HTTP/1.1" 200 9168
0:0:0:0:0:0:0:1 - - [31/Oct/2019:14:43:31 +0900] "GET /cop/boot/login.jsp HTTP/1.1" 200 6294
0:0:0:0:0:0:0:1 - - [31/Oct/2019:14:43:36 +0900] "GET /cop/boot/qwe1.jsp HTTP/1.1" 200 5685
0:0:0:0:0:0:0:1 - - [31/Oct/2019:14:43:49 +0900] "GET /cop/boot/notice.jsp HTTP/1.1" 200 6501
0:0:0:0:0:0:0:1 - - [31/Oct/2019:14:43:49 +0900] "GET /cop/boot/bootstrap-3.3.2-dist/css/bootstrap.min.css HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [31/Oct/2019:14:46:51 +0900] "GET /cop/boot/index.jsp HTTP/1.1" 200 9168
0:0:0:0:0:0:0:1 - - [31/Oct/2019:14:49:50 +0900] "GET /cop/boot/index.jsp HTTP/1.1" 200 9168
0:0:0:0:0:0:0:1 - - [31/Oct/2019:15:07:27 +0900] "GET /cop/boot/login.jsp HTTP/1.1" 200 6294
0:0:0:0:0:0:0:1 - - [31/Oct/2019:15:07:59 +0900] "GET /cop/boot/index.jsp HTTP/1.1" 200 9168
0:0:0:0:0:0:0:1 - - [31/Oct/2019:15:08:22 +0900] "GET /cop/boot/notice.jsp HTTP/1.1" 200 6501
0:0:0:0:0:0:0:1 - - [31/Oct/2019:15:08:22 +0900] "GET /cop/boot/bootstrap-3.3.2-dist/css/bootstrap.min.css HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [31/Oct/2019:15:08:37 +0900] "GET /cop/boot/tkdvna.jsp HTTP/1.1" 200 11843
